id;nombres;edad;notas
1;nombre 1;16;20
2;nombre 2;16;11
3;nombre 3;20;8
4;nombre 4;12;4
5;nombre 5;16;11
6;nombre 6;11;2
7;nombre 7;14;12
8;nombre 8;11;10
9;nombre 9;12;3
10;nombre 10;12;10
11;nombre 11;18;5
12;nombre 12;20;4
13;nombre 13;12;8
14;nombre 14;13;5
15;nombre 15;13;19
16;nombre 16;11;7
17;nombre 17;18;8
18;nombre 18;19;12
19;nombre 19;13;18
20;nombre 20;13;17
21;nombre 21;16;10
22;nombre 22;19;14
23;nombre 23;19;15
24;nombre 24;11;11
25;nombre 25;14;5
26;nombre 26;16;20
27;nombre 27;11;6
28;nombre 28;12;6
29;nombre 29;19;17
30;nombre 30;17;6
31;nombre 31;11;7
32;nombre 32;11;13
33;nombre 33;15;0
34;nombre 34;20;20
35;nombre 35;13;18
36;nombre 36;15;20
37;nombre 37;13;0
38;nombre 38;13;2
39;nombre 39;13;8
40;nombre 40;16;12
41;nombre 41;16;12
42;nombre 42;10;10
43;nombre 43;13;5
44;nombre 44;14;1
45;nombre 45;12;17
46;nombre 46;14;4
47;nombre 47;17;2
48;nombre 48;10;1
49;nombre 49;20;15
50;nombre 50;19;3
51;nombre 51;17;18
52;nombre 52;16;8
53;nombre 53;13;16
54;nombre 54;10;3
55;nombre 55;10;1
56;nombre 56;18;5
57;nombre 57;18;1
58;nombre 58;18;12
59;nombre 59;17;2
60;nombre 60;11;11
61;nombre 61;19;4
62;nombre 62;13;19
63;nombre 63;11;0
64;nombre 64;12;13
65;nombre 65;12;18
66;nombre 66;13;16
67;nombre 67;16;7
68;nombre 68;14;12
69;nombre 69;15;18
70;nombre 70;13;6
71;nombre 71;15;13
72;nombre 72;13;17
73;nombre 73;14;11
74;nombre 74;19;8
75;nombre 75;20;11
76;nombre 76;12;7
77;nombre 77;16;0
78;nombre 78;14;19
79;nombre 79;19;14
80;nombre 80;20;12
81;nombre 81;13;7
82;nombre 82;10;11
83;nombre 83;16;3
84;nombre 84;10;10
85;nombre 85;18;18
86;nombre 86;14;13
87;nombre 87;19;4
88;nombre 88;16;15
89;nombre 89;12;16
90;nombre 90;19;13
91;nombre 91;19;5
92;nombre 92;12;17
93;nombre 93;16;9
94;nombre 94;19;20
95;nombre 95;18;9
96;nombre 96;13;1
97;nombre 97;19;7
98;nombre 98;11;2
99;nombre 99;13;14
100;nombre 100;20;4
101;nombre 101;16;20
102;nombre 102;16;13
103;nombre 103;13;3
104;nombre 104;10;20
105;nombre 105;14;12
106;nombre 106;10;5
107;nombre 107;10;10
108;nombre 108;14;5
109;nombre 109;13;17
110;nombre 110;18;11
111;nombre 111;19;5
112;nombre 112;15;17
113;nombre 113;20;1
114;nombre 114;19;0
115;nombre 115;16;8
116;nombre 116;19;6
117;nombre 117;12;10
118;nombre 118;14;12
119;nombre 119;10;17
120;nombre 120;18;10
121;nombre 121;14;2
122;nombre 122;12;14
123;nombre 123;13;19
124;nombre 124;18;2
125;nombre 125;14;14
126;nombre 126;14;8
127;nombre 127;14;12
128;nombre 128;16;12
129;nombre 129;10;12
130;nombre 130;18;17
131;nombre 131;14;12
132;nombre 132;20;10
133;nombre 133;16;2
134;nombre 134;18;20
135;nombre 135;12;7
136;nombre 136;18;13
137;nombre 137;14;17
138;nombre 138;18;3
139;nombre 139;15;8
140;nombre 140;14;19
141;nombre 141;18;19
142;nombre 142;19;18
143;nombre 143;11;0
144;nombre 144;18;11
145;nombre 145;11;18
146;nombre 146;12;4
147;nombre 147;18;12
148;nombre 148;18;14
149;nombre 149;14;20
150;nombre 150;14;9
151;nombre 151;18;14
152;nombre 152;13;5
153;nombre 153;11;15
154;nombre 154;17;14
155;nombre 155;12;5
156;nombre 156;14;8
157;nombre 157;19;12
158;nombre 158;14;13
159;nombre 159;12;11
160;nombre 160;12;13
161;nombre 161;19;0
162;nombre 162;17;20
163;nombre 163;18;16
164;nombre 164;20;16
165;nombre 165;18;7
166;nombre 166;11;16
167;nombre 167;19;3
168;nombre 168;15;20
169;nombre 169;13;3
170;nombre 170;19;19
171;nombre 171;19;18
172;nombre 172;11;7
173;nombre 173;12;13
174;nombre 174;11;6
175;nombre 175;20;17
176;nombre 176;14;8
177;nombre 177;19;15
178;nombre 178;11;6
179;nombre 179;19;3
180;nombre 180;19;11
181;nombre 181;20;6
182;nombre 182;15;14
183;nombre 183;16;14
184;nombre 184;11;12
185;nombre 185;13;15
186;nombre 186;16;11
187;nombre 187;11;9
188;nombre 188;20;9
189;nombre 189;16;11
190;nombre 190;19;19
191;nombre 191;14;5
192;nombre 192;19;16
193;nombre 193;18;19
194;nombre 194;16;6
195;nombre 195;20;13
196;nombre 196;17;2
197;nombre 197;13;14
198;nombre 198;13;7
199;nombre 199;17;10
200;nombre 200;20;0
201;nombre 201;20;17
202;nombre 202;17;17
203;nombre 203;10;12
204;nombre 204;18;15
205;nombre 205;18;2
206;nombre 206;16;4
207;nombre 207;17;14
208;nombre 208;20;12
209;nombre 209;12;6
210;nombre 210;11;3
211;nombre 211;16;20
212;nombre 212;15;7
213;nombre 213;11;5
214;nombre 214;13;2
215;nombre 215;10;3
216;nombre 216;13;8
217;nombre 217;20;11
218;nombre 218;16;11
219;nombre 219;16;18
220;nombre 220;12;11
221;nombre 221;12;14
222;nombre 222;20;17
223;nombre 223;11;2
224;nombre 224;17;7
225;nombre 225;16;5
226;nombre 226;14;11
227;nombre 227;11;20
228;nombre 228;12;8
229;nombre 229;17;18
230;nombre 230;14;20
231;nombre 231;10;5
232;nombre 232;10;14
233;nombre 233;19;18
234;nombre 234;14;14
235;nombre 235;17;19
236;nombre 236;12;14
237;nombre 237;13;16
238;nombre 238;19;8
239;nombre 239;20;5
240;nombre 240;19;9
241;nombre 241;15;4
242;nombre 242;17;4
243;nombre 243;17;0
244;nombre 244;20;10
245;nombre 245;14;17
246;nombre 246;11;14
247;nombre 247;16;13
248;nombre 248;18;13
249;nombre 249;18;19
250;nombre 250;14;14
251;nombre 251;15;12
252;nombre 252;15;3
253;nombre 253;12;2
254;nombre 254;10;13
255;nombre 255;19;15
256;nombre 256;16;16
257;nombre 257;19;18
258;nombre 258;20;9
259;nombre 259;19;20
260;nombre 260;17;15
261;nombre 261;12;7
262;nombre 262;17;17
263;nombre 263;13;0
264;nombre 264;19;15
265;nombre 265;11;17
266;nombre 266;18;15
267;nombre 267;11;7
268;nombre 268;15;2
269;nombre 269;13;6
270;nombre 270;10;10
271;nombre 271;15;6
272;nombre 272;17;9
273;nombre 273;19;19
274;nombre 274;17;5
275;nombre 275;16;13
276;nombre 276;10;14
277;nombre 277;18;6
278;nombre 278;15;0
279;nombre 279;10;18
280;nombre 280;19;5
281;nombre 281;18;16
282;nombre 282;12;3
283;nombre 283;13;12
284;nombre 284;20;16
285;nombre 285;19;10
286;nombre 286;19;19
287;nombre 287;12;17
288;nombre 288;10;9
289;nombre 289;12;1
290;nombre 290;14;9
291;nombre 291;12;7
292;nombre 292;20;10
293;nombre 293;20;4
294;nombre 294;10;7
295;nombre 295;14;16
296;nombre 296;18;13
297;nombre 297;16;13
